번호	시도	군구	일련번호	인구(2005)	인구변화율(70-05)	인구밀도(2005)	노령화율(2005)	소득세할주민세(01-05평균)	개별공시지가 평균지가(2005)	총사업체종사자수(2001)	총사업체종사자수(2005)	총사업체종사자수변화율(01-05)	총사업체종사자수증감폭(01-05)	재정력지수(01-05평균)	지방세징수액(2002)	지방세징수액(2005)	1인당지방세징수액(2005)	지방세징수액증가율(02-05)	지방세징수액증감폭(02-05)	의료병상수(2005)	사설학원강사수(2005)	도로율(2005)	상하수도보급률(2005)
44	대구광역시	서구(대구)	184	244276	-0.211669492	13942.69406	8.415465328	5642165.6	376297.0708	78672	75706	-3.770083384	-2966	15.96	88663298	73927370	302.6386956	-16.62009911	-14735928	1311	643	19.20361758	103.5226547
45	대구광역시	남구(대구)	198	180260	0.174755485	10336.00917	10.91979282	6384500.2	305893.7657	43942	44209	0.607619134	267	13.69	65492261	55237581	306.4328248	-15.65785002	-10254680	2676	468	12.37493693	100.1725286
46	대구광역시	북구(대구)	199	460206	6.37108225	4877.647059	6.654363542	10850834.6	155666.7287	114020	127174	11.53657253	13154	20.666	195511954	192043131	417.2981904	-1.774225529	-3468823	2612	1328	8.319769051	101.1545916
47	대구광역시	수성구	52	426110	5.735984947	5570.793568	8.052471444	20651155	187585.6789	95420	98988	3.739258017	3568	23.534	189729247	294559477	691.2756729	55.25254101	104830230	2173	2042	7.78206576	102.457112
48	대구광역시	달서구	156	593877	36.16211457	9538.660456	5.991111743	16952416.8	267100.7541	150367	159744	6.236075735	9377	26.862	255117956	311421863	524.387816	22.06975467	56303907	4205	2276	12.3014327	101.1744856
49	대구광역시	달성군	91	150755	0.760874391	353.0314029	9.140710282	3958771	20225.72915	49009	52716	7.563916832	3707	42.71	77278714	102953242	682.9175948	33.22328578	25674528	1021	458	2.741775285	81.96709894
50	인천광역시	중구(인천)	213	86167	-0.048117281	776.6991166	9.716366873	9566361	142309.4555	53514	58680	9.653548604	5166	36.10063477	137959489	122102982	1417.050402	-11.4935965	-15856507	1798	139	6.548462683	67.68484455
51	인천광역시	동구(인천)	175	74602	-1.660868526	10611.94879	11.2324157	3775786.2	465455.6182	32951	30831	-6.433795636	-2120	11.632495	31642555	47851965	641.4300555	51.22661555	16209410	833	91	14.90250925	105.3028069
52	인천광역시	남구(인천)	212	414395	4.060843624	16948.67076	8.25597845	14435705.8	589357.2665	100959	98946	-1.993878703	-2013	24.16473588	181685207	155733345	375.8089383	-14.28397085	-25951862	2472	903	17.88871084	87.23946959
53	인천광역시	연수구	51	263650	50.22105009	8630.114566	5.729083423	8370391.8	447401.7943	35859	41946	16.97481804	6087	22.64440017	112290522	186682730	708.0702826	66.24976594	74392208	1017	494	12.32898822	101.2854163
54	인천광역시	남동구	155	373720	25.46495546	6573.790677	6.440230931	15836294.4	316071.8793	162123	172838	6.60917945	10715	28.71279005	204168462	224535056	600.8109173	9.975386894	20366594	3207	668	12.33449481	103.7768918
55	인천광역시	부평구	157	548068	10.2174818	17137.83615	6.581661697	19917532.8	489784.8473	117518	125243	6.573461087	7725	25.29608082	232932809	255839334	466.8021742	9.833962463	22906525	4074	1819	12.82112977	103.9008846
56	인천광역시	계양구	168	326485	38.86644643	7162.900395	5.184782542	8887585.2	213945.5628	60173	64935	7.913848404	4762	21.79485806	130473700	122827561	376.2119577	-5.860291384	-7646139	1657	1018	9.893408951	101.7348423
57	인천광역시	서구(인천)	183	374131	57.84736701	3366.0009	5.529035247	11528133.2	166479.5318	113945	115976	1.782438896	2031	38.17599721	214452385	256032753	684.3398515	19.38909096	41580368	3155	856	7.790646514	89.58947534
58	인천광역시	강화군	23	57791	-1.318005255	140.521811	22.67741097	1558185.8	14490.47435	14094	15057	6.832694764	963	17.728	26104841	32970706	570.5162742	26.30111787	6865865	255	146	3.523408136	45.0078732
59	인천광역시	옹진군	4	12271	-0.555409664	74.66837045	22.15969334	446674	8123.900181	2847	3590	26.09764665	743	25.45	8591587	17948431	1462.670605	108.9070506	9356844	36	4	1.566879396	11.28677369
60	광주광역시	동구(광주)	179	120300	-0.095653581	2461.632904	11.03245035	8560460	115990.0733	72082	65433	-9.224216864	-6649	28.02525978	94643209	69863178	580.7412968	-26.18257692	-24780031	2742	1050	0.506806016	94.87697423
61	광주광역시	서구(광주)	182	313863	7.596333025	6716.520437	6.361310166	9044471.6	236862.7879	69284	92076	32.89648404	22792	34.12075469	140487437	138737536	442.0321478	-1.245592515	-1749901	3057	856	0.227917826	98.81954866
62	광주광역시	남구(광주)	195	214532	3.231851048	3512.311722	8.575804697	4066869.6	84184.07383	42657	41584	-2.515413648	-1073	18.8791913	60879038	89489711	417.1392193	46.99593479	28610673	2061	519	0.354284872	99.14931106
63	광주광역시	북구(광주)	194	460868	14.16897256	3783.498892	6.798986303	10680196.8	103235.0704	130197	131600	1.077597794	1403	29.19716119	149329883	152317728	330.501853	2.000835292	2987845	2804	1806	0.35835736	97.80859161
64	광주광역시	광산구	196	308153	3.625000657	1382.347928	6.002847923	6929816.8	49994.10124	79214	97582	23.18782033	18368	28.99584402	111237206	154002675	499.7604275	38.44529231	42765469	3306	703	0.494308721	94.53923862
65	대전광역시	동구(대전)	180	232673	0.987316109	1701.074719	9.622159079	4854804.2	52635.8592	56335	52184	-7.368421053	-4151	14.7791558	69099508	65816493	282.8712098	-4.75114092	-3283015	1492	668	4.18565068	99.14278838
66	대전광역시	중구(대전)	193	255962	0.382958335	4129.751533	9.195312347	9162114.6	125860.188	88059	74232	-15.70197254	-13827	23.7621558	113267683	108747903	424.8595612	-3.990352659	-4519780	3824	1064	10.84235237	103.9027277
67	대전광역시	서구(대전)	186	509420	48.21253133	5340.392075	5.688175173	15761725.2	179312.8075	108931	122837	12.76587932	13906	31.35833609	248933292	246659239	484.1962212	-0.913519032	-2274053	4425	2430	7.006402139	99.3854776
68	대전광역시	유성구	191	222649	11.68054168	1256.62603	5.330325579	13165200.4	95835.85799	61022	74830	22.62790469	13808	38.57964482	149231031	194812106	874.9740893	30.54396575	45581075	1845	691	4.763468224	91.03723798
69	대전광역시	대덕구	192	222152	6.937616564	3245.938048	6.493008051	7720800.6	105749.8167	81479	81228	-0.308054836	-251	26.66354972	90459259	100952142	454.4282383	11.59956771	10492883	2113	990	6.22805377	87.34830206
70	울산광역시	중구(울산)	206	226115	12.18915421	6114.521363	5.826137018	4856188.4	128594.9406	42174	40079	-4.967515531	-2095	24.8	72535210	67985961	300.6698406	-6.271780284	-4549249	949	1064	8.047082477	104.1370542
71	울산광역시	남구(울산)	205	338040	12.73305862	4691.090758	4.189009633	18431468.6	169710.0776	126360	135897	7.547483381	9537	53.866	192036141	228733357	676.6458319	19.10953626	36697216	2929	2575	9.92417874	103.0854337
72	울산광역시	동구(울산)	177	178353	18.1115017	4986.105675	3.60498291	10666651	93592.10867	67037	67038	0.001491714	1	42.396	70714852	71568359	401.2736483	1.20696993	853507	1166	628	6.244915851	103.6825845
73	울산광역시	북구(울산)	207	141304	11.59984039	898.3660754	4.504811619	11913652.2	32259.68239	61821	72060	16.56233319	10239	43.33	88028795	134093098	948.9688756	52.32867609	46064303	527	536	2.536153029	79.1920257
74	울산광역시	울주군	38	165365	1.606113851	219.0148866	9.652991849	7338974.4	11590.13272	54068	64768	19.78989421	10700	57.76	107895246	181137487	1095.379839	67.88273229	73242241	2382	907	2.279777588	76.64953285
75	경기도	수원시	227	1044113	13.48349758	8625.468815	5.409181579	54360197.4	396218	262081	286283	9.234549624	24202	138.74	739728545	747852880	716.2566504	1.098285994	8124335	6205	7048	9.964914911	99.28882219
76	경기도	성남시	234	934984	37.13960601	6595.541761	6.63036952	63106040	399748	187998	249483	32.70513516	61485	136.278	689274732	896681126	959.0336583	30.09052623	207406394	6237	2290	8.473936089	105.6860331
77	경기도	의정부시	224	398870	9.167807249	4888.112745	7.574416511	10214270.4	169146.3323	71937	81819	13.73701989	9882	78.736	196855067	213602550	535.5192168	8.507519392	16747483	2689	1441	4.869958578	99.62255873
